City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Bowen,-20.0167,148.2333,91.62,68,100,10.76,AU,2022-02-02 02:42:35
249,Tautira,-17.7333,-149.15,87.82,76,21,18.54,PF,2022-02-02 02:42:36
250,Shitanjing,39.2342,106.3439,19.9,17,61,2.13,CN,2022-02-02 02:42:36
251,Tilichiki,60.4667,166.1,14.25,91,100,9.13,RU,2022-02-02 02:42:37
252,Emerald,-23.5333,148.1667,98.74,34,97,11.5,AU,2022-02-02 02:42:37
253,Kahului,20.8947,-156.47,80.62,66,40,20.71,US,2022-02-02 02:42:38
254,Vestmannaeyjar,63.4427,-20.2734,37.2,88,100,12.82,IS,2022-02-02 02:42:38
255,Pisco,-13.7,-76.2167,69.85,78,0,14.97,PE,2022-02-02 02:39:18
256,Pangody,65.85,74.4859,-16.6,100,94,6.91,RU,2022-02-02 02:42:39
257,Aykhal,66.0,111.5,-18.99,100,12,2.53,RU,2022-02-02 02:42:40
258,Antalaha,-14.9003,50.2788,74.55,83,93,6.22,MG,2022-02-02 02:42:40
259,Luton,51.8797,-0.4175,50.16,91,40,17.27,GB,2022-02-02 02:41:04
260,Bima,-8.4667,118.7167,87.46,65,13,3.71,ID,2022-02-02 02:42:41
261,Egvekinot,66.3167,-179.1667,-5.48,84,66,20.4,RU,2022-02-02 02:42:41
262,Ballangen,68.3428,16.8315,19.62,58,0,11.5,NO,2022-02-02 02:42:42
263,San Jose,37.3394,-121.895,58.71,33,0,4.61,US,2022-02-02 02:42:42
264,Adrar,20.5022,-10.0711,67.19,20,62,11.21,MR,2022-02-02 02:42:43
265,Cody,44.5263,-109.0565,17.89,73,75,0.0,US,2022-02-02 02:39:23
266,Canto Do Buriti,-8.11,-42.9444,76.44,57,54,2.15,BR,2022-02-02 02:42:44
267,Iglesias,39.3114,8.535,44.74,82,30,13.24,IT,2022-02-02 02:40:04
268,College,64.8569,-147.8028,-9.42,71,20,0.0,US,2022-02-02 02:42:44
269,Payson,40.0444,-111.7321,26.42,61,40,20.71,US,2022-02-02 02:42:45
270,Constitucion,-35.3333,-72.4167,56.89,93,13,3.96,CL,2022-02-02 02:42:46
271,Esperance,-33.8667,121.9,73.24,46,21,19.24,AU,2022-02-02 02:39:02
272,Kieta,-6.2167,155.6333,84.25,72,68,9.91,PG,2022-02-02 02:42:46
273,Gorom-Gorom,14.4439,-0.2361,64.42,9,86,9.24,BF,2022-02-02 02:42:47
274,Lata,40.1629,-8.3327,52.81,78,0,4.12,PT,2022-02-02 02:42:48
275,Karratha,-20.7377,116.8463,88.83,62,100,14.03,AU,2022-02-02 02:42:48
276,Rawson,-43.3002,-65.1023,76.3,30,7,11.21,AR,2022-02-02 02:42:49
277,Zabaykalsk,49.6333,117.3167,-5.96,88,17,6.33,RU,2022-02-02 02:43:49
278,Huarmey,-10.0681,-78.1522,71.53,79,84,8.77,PE,2022-02-02 02:43:50
279,Whitianga,-36.8333,175.7,71.71,77,100,12.12,NZ,2022-02-02 02:43:50
280,Axim,4.8699,-2.2405,77.81,85,99,2.01,GH,2022-02-02 02:43:51
281,Rosita,13.9268,-84.4032,68.09,96,34,1.59,NI,2022-02-02 02:43:51
282,Cumana,10.4635,-64.1775,75.49,85,1,9.1,VE,2022-02-02 02:43:52
283,Nouadhibou,20.931,-17.0347,66.18,72,96,9.22,MR,2022-02-02 02:43:52
284,Vire,48.9167,-0.8333,49.39,84,100,12.62,FR,2022-02-02 02:43:53
285,Irricana,51.3237,-113.6048,1.15,73,83,7.78,CA,2022-02-02 02:43:53
286,Bestobe,52.4994,73.0975,2.75,90,18,8.21,KZ,2022-02-02 02:41:18
287,Moose Factory,51.2585,-80.6094,35.6,75,100,19.57,CA,2022-02-02 02:43:54
288,Xichang,27.8964,102.2634,36.0,87,100,4.0,CN,2022-02-02 02:43:55
289,Pacific Grove,36.6177,-121.9166,56.88,66,0,1.01,US,2022-02-02 02:42:00
290,Bredasdorp,-34.5322,20.0403,71.73,80,8,4.03,ZA,2022-02-02 02:42:47
291,Lebu,-37.6167,-73.65,58.15,94,10,9.78,CL,2022-02-02 02:43:56
292,Arvika,59.6553,12.5852,21.81,91,100,5.46,SE,2022-02-02 02:43:56
293,Las Cruces,32.3123,-106.7783,59.2,29,0,1.01,US,2022-02-02 02:43:42
294,Walvis Bay,-22.9575,14.5053,66.09,89,11,2.06,NA,2022-02-02 02:43:49
