City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,The Valley,AI,18.217,-63.0578,78.94,73,20,10.36,few clouds
233,Belmonte,BR,-15.8631,-38.8828,81.1,81,100,6.4,overcast clouds
234,Hofn,IS,64.2539,-15.2082,30.11,56,100,7.76,overcast clouds
235,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,20.71,clear sky
236,Shu,KZ,43.5983,73.7614,31.91,70,100,6.2,overcast clouds
237,Vostok,RU,46.4856,135.8833,-5.37,99,100,3.56,overcast clouds
238,San Cristobal,VE,7.7669,-72.225,78.98,41,21,3.22,few clouds
239,Xining,CN,36.6167,101.7667,10.89,67,38,2.42,scattered clouds
240,Russell,US,32.3502,-85.1999,70.88,40,20,16.11,few clouds
241,Salinas,US,36.6777,-121.6555,65.82,20,0,10.36,clear sky
242,Novoagansk,RU,61.9449,76.6625,18.73,92,100,10.02,overcast clouds
243,Altamont,US,42.2068,-121.7372,43.9,50,0,1.01,clear sky
244,Lodja,CD,-3.4833,23.4333,68.86,99,100,1.12,overcast clouds
245,Astana,KZ,51.1801,71.446,1.35,85,100,2.24,smoke
246,Lichtenburg,ZA,-26.152,26.1597,69.42,67,67,5.66,broken clouds
247,Whittlesea,ZA,-32.1759,26.8244,70.27,83,68,4.41,light rain
248,Impfondo,CG,1.6381,18.0667,73.85,36,98,1.14,overcast clouds
249,Kano,NG,12.0001,8.5167,62.49,39,0,4.61,clear sky
250,Westport,US,41.1415,-73.3579,42.62,93,100,3.0,overcast clouds
251,Raga,SS,8.4596,25.678,74.86,23,92,3.76,overcast clouds
252,Port Hardy,CA,50.6996,-127.4199,37.58,93,100,14.97,light rain
253,Dingle,PH,10.9995,122.6711,75.81,90,100,9.13,overcast clouds
254,Hami,CN,42.8,93.45,21.63,35,3,2.8,clear sky
255,Jinka,ET,5.65,36.65,73.33,37,98,1.86,overcast clouds
256,Moron,AR,-34.6534,-58.6198,87.69,56,71,9.4,broken clouds
257,Tazovskiy,RU,67.4667,78.7,-14.57,99,95,9.08,overcast clouds
258,Kodiak,US,57.79,-152.4072,36.91,87,100,4.61,mist
259,Hof,DE,50.3167,11.9167,35.46,93,75,4.61,broken clouds
260,Tezu,IN,27.9167,96.1667,53.94,62,87,4.12,overcast clouds
261,Patiya,BD,22.2931,91.9762,55.38,77,0,5.06,clear sky
262,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.88,90,100,6.85,moderate rain
263,Komsomolskiy,UZ,40.4272,71.7189,38.12,81,75,4.61,broken clouds
264,Fortuna,US,40.5982,-124.1573,58.48,72,0,8.01,clear sky
265,Palmer,US,42.1584,-72.3287,42.46,74,75,5.75,broken clouds
266,Saint-Tite,CA,46.7334,-72.5658,35.91,97,100,4.63,overcast clouds
267,Ponta Do Sol,PT,32.6667,-17.1,67.01,73,100,6.08,overcast clouds
268,Surt,LY,31.2089,16.5887,55.18,75,81,23.96,broken clouds
269,Dalbandin,PK,28.8947,64.4101,46.72,34,0,4.74,clear sky
270,Alofi,NU,-19.0595,-169.9187,78.69,78,75,9.22,shower rain
271,Shieli,KZ,44.1667,66.75,24.44,95,7,3.71,clear sky
272,Phaltan,IN,17.9833,74.4333,67.95,45,33,6.04,scattered clouds
273,Sheridan,US,44.8333,-106.9173,5.65,53,75,1.99,broken clouds
274,Coari,BR,-4.085,-63.1414,76.12,95,88,1.14,overcast clouds
275,Oussouye,SN,12.485,-16.5469,78.98,84,41,4.45,scattered clouds
276,Yaan,NG,7.3833,8.5667,81.55,15,6,4.12,clear sky
277,Tomatlan,MX,19.9333,-105.25,81.0,37,0,9.71,clear sky
278,Takoradi,GH,4.8845,-1.7554,80.02,81,1,9.28,clear sky
279,Luderitz,NA,-26.6481,15.1594,68.27,78,69,1.88,broken clouds
280,Newport News,US,36.9788,-76.428,48.36,90,100,5.75,fog
281,Koltubanovskiy,RU,52.9407,52.0269,28.51,96,100,11.68,snow
282,Antofagasta,CL,-23.65,-70.4,68.04,77,8,9.75,clear sky
283,Businga,CD,3.3333,20.8833,79.68,31,72,1.25,broken clouds
284,Lensk,RU,60.7253,114.9278,-18.53,100,94,4.32,overcast clouds
285,Sile,TR,41.1754,29.6133,47.57,77,100,1.99,light rain
286,Kalmanka,RU,52.8992,83.5433,15.1,100,83,0.4,broken clouds
287,Fort Nelson,CA,58.8053,-122.7002,-6.21,77,100,6.91,overcast clouds
288,Awjilah,LY,29.1081,21.2869,52.21,59,51,18.7,broken clouds
289,Honningsvag,NO,70.9821,25.9704,27.7,72,92,10.4,overcast clouds
290,Igrim,RU,63.1906,64.4162,8.58,97,100,3.91,overcast clouds
291,Ayagoz,KZ,47.9714,80.4392,0.09,83,100,9.13,overcast clouds
292,Bukama,CD,-9.2,25.85,68.2,96,100,0.81,overcast clouds
293,Montgomery,US,39.1501,-77.1997,46.54,69,0,1.99,clear sky
294,Nanortalik,GL,60.1432,-45.2371,8.1,63,43,7.74,scattered clouds
295,Riyadh,SA,24.6877,46.7219,51.94,37,0,5.66,clear sky
296,Padang,ID,-0.9492,100.3543,76.78,86,68,3.58,broken clouds
297,Tommot,RU,58.9564,126.2925,-9.76,95,100,8.01,overcast clouds
298,Balikpapan,ID,-1.2675,116.8289,74.64,90,97,5.93,overcast clouds
299,Namatanai,PG,-3.6667,152.4333,80.24,80,100,8.14,light rain
300,Annau,TM,37.8876,58.516,36.9,56,0,2.3,clear sky
301,Son La,VN,21.3167,103.9,50.25,93,96,3.13,overcast clouds
302,Severnyy,RU,50.677,36.5532,26.64,100,75,4.47,snow
303,Boden,SE,65.8252,21.6886,3.2,97,96,4.16,overcast clouds
304,Esperance,AU,-33.8667,121.9,58.84,64,4,16.13,clear sky
305,Pisco,PE,-13.7,-76.2167,77.05,57,0,20.71,clear sky
306,Chuy,UY,-33.6971,-53.4616,71.89,81,0,12.88,clear sky
307,Bluefields,NI,12.0137,-83.7635,82.47,74,40,4.61,scattered clouds
308,Colquiri,BO,-17.4167,-67.1333,47.39,76,86,6.04,overcast clouds
309,Bismarck,US,46.8083,-100.7837,1.87,68,0,5.99,clear sky
310,Alto Araguaia,BR,-17.3147,-53.2153,70.93,93,73,5.46,broken clouds
311,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.83,98,92,1.36,overcast clouds
312,Broome,US,42.2506,-75.833,40.69,71,100,3.0,overcast clouds
313,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,16.11,few clouds
314,Merrill,US,45.1805,-89.6835,13.77,40,0,9.22,clear sky
315,Kulachi,PK,31.9286,70.4592,55.51,55,26,8.23,scattered clouds
316,Chegem,RU,43.2833,43.1333,6.93,59,97,14.79,overcast clouds
317,San Andres,CO,12.5847,-81.7006,82.42,69,20,11.5,few clouds
318,Meulaboh,ID,4.1363,96.1285,75.81,86,66,4.27,broken clouds
319,Constitucion,CL,-35.3333,-72.4167,62.73,77,38,7.92,scattered clouds
320,Skelleftea,SE,64.7507,20.9528,10.76,66,100,6.91,overcast clouds
321,Ambon,ID,-3.6954,128.1814,77.14,88,20,4.61,few clouds
322,Pangoa,PE,-12.1167,-73.0,72.79,89,71,1.59,broken clouds
323,Marsh Harbour,BS,26.5412,-77.0636,71.46,63,8,16.24,clear sky
324,Kilindoni,TZ,-7.9139,39.6668,80.91,81,100,11.99,overcast clouds
325,Pacific Grove,US,36.6177,-121.9166,65.43,26,0,1.99,clear sky
326,La Ronge,CA,55.1001,-105.2842,-10.95,40,0,2.3,clear sky
327,Agadez,NE,19.75,10.25,55.2,22,0,13.85,clear sky
328,Taveta,KE,-3.3963,37.6736,71.19,79,100,4.65,overcast clouds
329,Truth Or Consequences,US,33.1284,-107.2528,52.92,43,100,24.52,overcast clouds
330,Geraldton,AU,-28.7667,114.6,84.61,17,0,24.16,clear sky
331,Jinji,CN,23.2281,110.8261,43.97,91,95,4.83,overcast clouds
332,Omsukchan,RU,62.5333,155.8,-12.73,99,100,5.64,overcast clouds
333,Gurkovo,BG,42.6667,25.8,36.5,91,100,5.95,overcast clouds
334,Amapa,BR,1.0,-52.0,71.73,99,100,3.49,overcast clouds
335,Aswan,EG,24.0934,32.907,59.76,38,0,7.11,clear sky
336,Dylym,RU,43.071,46.6345,37.99,57,82,5.57,broken clouds
337,Banda Aceh,ID,5.5577,95.3222,76.93,87,34,7.67,scattered clouds
338,Kruisfontein,ZA,-34.0033,24.7314,68.88,92,100,7.38,light rain
339,Ocala,US,29.1872,-82.1401,74.05,48,59,1.99,broken clouds
340,Mount Gambier,AU,-37.8333,140.7667,58.91,63,100,11.5,overcast clouds
341,Tiznit,MA,29.5833,-9.5,66.69,25,66,7.54,broken clouds
342,Cockburn Town,TC,21.4612,-71.1419,73.36,83,75,16.11,broken clouds
343,Lavrentiya,RU,65.5833,-171.0,1.06,68,0,22.32,clear sky
344,Angoram,PG,-4.0625,144.0661,77.81,85,100,2.68,overcast clouds
345,Aripuana,BR,-9.1667,-60.6333,73.92,96,93,0.92,overcast clouds
346,Hirara,JP,24.8,125.2833,70.07,88,75,6.91,broken clouds
347,Fort William,GB,56.8165,-5.1121,48.31,95,100,7.54,moderate rain
348,Kyren,RU,51.6828,102.1408,0.21,85,72,1.34,broken clouds
