City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
353,Garissa,KE,79.5,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
356,Muisne,EC,78.91,light rain,0.6,-80.0333,Quinta Samay
361,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
364,San-Pedro,CI,79.3,overcast clouds,4.7485,-6.6363,Hotel Maria
365,Taytay,PH,78.73,broken clouds,14.5678,121.1394,Mariposa Budget Hotel Taytay
370,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
371,Boa Vista,BR,87.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
374,Puerto Leguizamo,CO,81.54,overcast clouds,-0.1934,-74.7819,la casona de juancho
376,Acari,PE,75.88,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
379,Labuhan,ID,77.47,overcast clouds,-6.8844,112.2051,DoubleFAG
380,Ranong,TH,76.95,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
383,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
385,Logon,PH,78.62,overcast clouds,11.3303,124.1146,Tepanee Beach Resort
393,Sertania,BR,81.27,overcast clouds,-8.0736,-37.2644,Hotel Esperança
410,Socoltenango,MX,75.87,clear sky,16.2167,-92.25,Canto del Agua Ecolodge
411,Le Marin,MQ,78.78,clear sky,14.4721,-60.8697,Résidence des îles
414,Alcantara,BR,82.6,overcast clouds,-2.4089,-44.4147,Pousada da Josefa
415,Aitape,PG,78.73,overcast clouds,-3.1374,142.3475,
421,Carutapera,BR,75.92,overcast clouds,-1.195,-46.02,Lidera
422,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
435,Bria,CF,79.47,overcast clouds,6.5423,21.9863,WFP Guesthouse
441,Bahia Blanca,AR,84.49,overcast clouds,-38.7196,-62.2724,Hotel Argos
443,Toamasina,MG,77.0,scattered clouds,-18.1667,49.3833,Hotel H1
446,Palembang,ID,77.09,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
447,Batticaloa,LK,76.14,broken clouds,7.7102,81.6924,Grand Star Guest House
449,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
456,La Libertad,EC,83.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
461,Bubaque,GW,77.97,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
464,Las Lomas,PA,85.41,few clouds,8.4333,-82.4,Hotel Castilla
470,Pozo Colorado,PY,92.64,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
472,Carmelo,UY,84.16,overcast clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
479,Gizo,SB,82.49,moderate rain,-8.103,156.8419,Imagination Island
496,Porto Walter,BR,79.9,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
510,Grand Baie,MU,80.46,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
512,San Patricio,US,78.78,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
529,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
530,Buala,SB,81.88,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
531,Lima,PE,76.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
537,Presidencia Roque Saenz Pena,AR,95.58,broken clouds,-26.7852,-60.4388,Hotel Gualok
541,Kuala Kedah,MY,75.6,broken clouds,6.1,100.3,Artini Homestay
543,Harper,LR,79.14,overcast clouds,4.375,-7.7169,Screensaver
548,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
552,Trinidad,BO,75.76,broken clouds,-14.8333,-64.9,Hotel Piesta
553,Acarau,BR,79.66,broken clouds,-2.8856,-40.12,castelo pizzaria
559,Gboko,NG,80.33,clear sky,7.3179,8.9951,Mavillah Apartment and Suites
560,Lorengau,PG,80.26,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
561,Bouillante,GP,78.03,clear sky,16.1304,-61.7692,Gîtes Dardanelle
562,Catamarca,AR,82.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
565,Dangriga,BZ,80.98,clear sky,16.9692,-88.2321,Chaleanor Hotel
570,Cartagena,CO,80.47,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
577,Monclova,MX,75.06,clear sky,26.9,-101.4167,Hotel Royal Inn
580,Araguacu,BR,75.42,scattered clouds,-12.9306,-49.8264,Hotel Tocantins
585,San Mateo Del Mar,MX,79.32,clear sky,16.2,-95.0,
589,Sola,VU,83.07,very heavy rain,-13.8833,167.55,Leumerus Bungalows
591,Olinda,BR,81.27,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
597,Sibolga,ID,75.88,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
598,Kathu,TH,78.62,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
600,Iberia,US,75.02,clear sky,29.9502,-91.7507,back to back rv park
604,Morondava,MG,80.69,light rain,-20.2833,44.2833,La Case Bambou
607,Kieta,PG,84.04,light rain,-6.2167,155.6333,Uruna Bay Retreat
611,Gladstone,AU,76.93,scattered clouds,-23.85,151.25,Highpoint International Hotel
612,Christchurch,NZ,83.32,overcast clouds,-43.5333,172.6333,The George
615,Auki,SB,81.23,light rain,-8.7676,160.7034,Auki Motel
616,Pedernales,DO,79.12,few clouds,18.0384,-71.744,Hotel Costa Marina
617,Charters Towers,AU,82.35,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
622,Ngunguru,NZ,75.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
624,Tabou,CI,79.0,broken clouds,4.423,-7.3528,hotêl doufoulougou
627,Waingapu,ID,79.65,few clouds,-9.6567,120.2641,Pondok Wisata Elim
628,Point Fortin,TT,80.02,few clouds,10.1833,-61.6833,Jus Les' Suites
630,Vaitape,PF,81.16,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
631,La Asuncion,VE,77.59,clear sky,11.0333,-63.8628,Colinas de Matasiete
636,Blackwater,AU,75.25,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
637,Tual,ID,82.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
644,Kattivakkam,IN,76.06,clear sky,13.2167,80.3167,Euronova Freezer
651,Kloulklubed,PW,82.9,light rain,7.0419,134.2556,Storyboard Beach Resort
662,Upata,VE,80.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
